,名词,动词,其它
130,小刀,踏,0
131,书,0,0
132,温习,0,0
135,雪花,丢,0
136,刀,0,0
137,火扇,0,0
138,雨,撒,0
139,车,0,0
140,大地,0,0
141,散兵线,0,0
142,草,开得,0
143,船帆,0,0
145,蚊虫,0,0
146,账,0,0
147,后路,0,0
148,牛,算,0
149,柴和果,0,0
150,鱼,喂,0
151,秤,放到,0
152,瘦子,称,0
153,稿子,0,0
154,领导,0,0
156,房门,0,0
157,杯子,关,0
158,夜色,端,0
159,车子,0,0
161,0,憋,0
162,树,打发,0
163,天,0,0
164,帽子,0,0
168,少女,0,0
169,纸,推开,0
170,奶奶,甩,0
171,糖,戳,0
172,报纸,问,0
173,面粉,拉开,0
174,白面,嘬,0
175,路,0,0
176,黄土,0,0
177,广场,糟踏,0
178,雾气,流得,0
179,气球,赶到,0
180,0,烤,0
181,0,分割,0
182,手指,染得,0
183,电线,0,0
184,天空,0,0
186,裙子,0,0
187,上衣,0,0
188,学生,0,0
189,罩子,提,0
190,物质,裁得,0
191,人影,感化,0
192,脚步,0,0
193,心,0,0
194,灯笼,跨,0
195,火,包裹,0
196,0,挤,0
197,0,笑,0
198,木板,起,0
199,单刀,逼,0
201,0,踩得,0
202,骨节,舞,0
204,台湾人,震得,0
205,金钱,0,0
207,副词,0,0
208,0,控制,0
209,嗓音,0,0
210,房子,0,0
211,眼,0,0
212,菜价,放在,0
213,0,折磨,0
214,盐,0,0
215,草场,盖,0
216,0,瞪,0
217,腰身,定,0
218,历史,0,0
219,树叶,0,0
220,脖子,毁坏,0
222,0,勒,0
223,0,创造,0
224,荣辱,花,0
225,立功受奖,碰,0
226,婚事,弯得,0
227,中央,0,0
228,拐杖,管,0
229,马克思主义,冻得,0
230,餐桌,0,0
231,肉皮,0,0
232,龟,0,0
233,灌木丛,0,0
234,孟家,0,0
235,晨光,回得,0
236,石子,点缀,0
237,房间,0,0
238,船,惊,0
239,船身,踢,0
241,0,稳住,0
242,病人,0,0
243,0,打得,0
246,饭,抬,0
248,0,咽,0
249,衣服,0,0
250,0,教,0
251,0,骗,0
252,坟墓,穿,0
253,秩序,放得,0
254,主人公,逗,0
255,爱情,0,0
257,面盆,0,0
259,眉毛,捧,0
261,0,皱,0
262,功课,0,0
263,心胸,看做,0
264,0,封得,0
265,作品,0,0
266,武器,0,0
269,学校,0,0
271,神经,0,0
273,0,绷,0
274,工人,渲染,0
276,企业,捧得,0
277,局势,0,0
278,意思,0,0
281,世界,0,0
282,灯心,0,0
284,女孩子,0,0
285,0,作为,0
286,0,剔得,0
287,0,装,0
288,疙瘩,0,0
289,0,送到,0
290,0,走,0
291,经文,0,0
293,0,拴,0
294,闲事,解开,0
296,0,哄,0
298,眼泪,0,0
299,0,看出,0
300,0,念,0
302,烟瘾,0,0
303,条件,0,0
304,姆妈,牵出来,0
306,面孔,0,0
307,世事,0,0
308,病,0,0
309,皮肤,听,0
311,0,订得,0
312,洋钱,束,0
313,钱,0,0
314,合家,0,0
315,0,瞧,0
316,0,反映,0
317,0,涨,0
318,0,找,0
320,消息,0,0
321,话音,0,0
322,0,洗,0
326,胭脂,知道,0
327,转椅,拖,0
328,诗,0,0
329,0,锻炼,0
330,0,晒,0
332,声浪,揉,0
333,双脚,0,0
335,0,扶得,0
336,箱子,读,0
337,男子,0,0
338,煤气,扔,0
339,妈妈,哭,0
340,草料,0,0
341,新郎,0,0
342,前程,架得,0
343,板子,0,0
345,骨头,托,0
346,鸡,0,0
348,0,欺负,0
349,帽檐,烧,0
350,男人,切得,0
351,0,淹没,0
353,0,挥舞,0
354,关系,0,0
355,骨气,0,0
356,自行车,拔,0
357,0,翻,0
358,酒杯,0,0
362,椅子,0,0
363,脸颊,0,0
364,爸爸,抠,0
365,0,引见,0
368,0,蹬,0
369,枪口,唬得,0
371,话题,搅和,0
372,0,贴,0
373,食物,0,0
375,封面,0,0
376,烟锅,0,0
377,老婆,0,0
383,背囊,0,0
384,屋子,0,0
385,刀子,0,0
388,眼圈,0,0
389,鞋子,宠得,0
391,肚子,抹,0
396,儿子,0,0
397,女人,0,0
400,0,换上,0
402,0,顶,0
403,地方,0,0
404,农民,0,0
405,0,惯得,0
406,0,旋得,0
407,语气,转,0
409,0,怄,0
411,时间,0,0
412,狗,0,0
413,请帖,抱,0
414,情敌,0,0
417,0,戴,0
421,重音,0,0
422,0,扣,0
424,0,撕得,0
425,观众,0,0
426,0,捏,0
427,戒条,0,0
429,战鼓,0,0
430,任务,0,0
431,全身,0,0
432,旗子,培养,0
434,雀儿,0,0
435,脸孔,0,0
436,头盔,0,0
437,敌人,打好,0
438,手头,0,0
439,0,背,0
440,柴草,0,0
441,女儿,造得,0
442,战争,0,0
443,0,完成,0
446,0,盯,0
447,0,赶,0
450,枪栓,0,0
451,0,捞,0
452,车铃,0,0
453,0,放出,0
454,缰绳,0,0
455,0,映得,0
457,0,搂,0
460,胳臂,0,0
461,事态,0,0
464,0,仰,0
465,0,扭,0
466,人员,0,0
468,0,撩,0
471,老兄,吊,0
472,0,跑,0
473,浪头,扫得,0
476,0,腌,0
477,0,带去,0
478,0,箍,0
480,0,磨炼,0
481,沙土,0,0
482,形势,0,0
487,0,画,0
489,地球,掀得,0
490,社会,叫,0
491,弦,0,0
493,眉头,0,0
495,人类,0,0
496,0,握,0
497,腰板,0,0
500,责任,攒,0
501,意见,0,0
504,职守,糟蹋,0
505,腰弯,0,0
506,腿,0,0
507,厕所,0,0
508,瓷坑,0,0
509,0,勾得,0
510,铁栅,描绘,0
511,0,跳,0
512,0,熨,0
513,花生,0,0
514,0,赖,0
515,鼻子,表达,0
516,球,翘,0
517,内脏,0,0
519,表格,跷,0
520,皮鞋,当作,0
522,辫子,0,0
523,财产,0,0
529,0,添,0
530,0,碰得,0
531,人生,0,0
532,0,忘,0
535,灯,0,0
536,老,0,0
537,现状,0,0
538,小说,分开,0
539,0,保得,0
540,宗教,0,0
543,脑壳,0,0
545,门窗,0,0
546,巷子,0,0
548,信,0,0
550,老头,0,0
552,玫瑰园,0,0
553,书包,改进,0
555,圆桌,摇得,0
556,小腿,0,0
558,排骨,0,0
560,瓜皮,0,0
561,纸条,死,0
562,语调,0,0
563,粮食,0,0
565,地板,0,0
566,身子,0,0
567,0,推,0
568,空气,0,0
569,水龙头,0,0
570,心脏,0,0
571,墩布,0,0
572,小孩,0,0
573,0,脱,0
575,莲藕,0,0
577,0,褒贬,0
578,疙瘩汤,吐,0
579,水管,抓,0
581,0,啃得,0
584,0,吃,0
585,饭盒,修补,0
586,0,跺得,0
587,0,发抖,0
588,冰冻,0,0
589,车身,0,0
590,0,拧,0
592,眼珠,0,0
596,0,折,0
597,0,嚼,0
598,0,织补,0
599,刀口,0,0
600,路面,0,0
601,医院,0,0
605,公证,0,0
607,门面,0,0
608,动静,0,0
609,米饭,0,0
610,前台,颠得,0
611,0,捣腾,0
612,主角,0,0
613,颜色,0,0
614,旗杆,摞,0
617,理由,眯,0
618,0,整得,0
620,心情,0,0
622,抽屉,0,0
623,树枝,0,0
624,军服,0,0
625,狗肉,0,0
626,0,撑,0
627,地面,0,0
628,带子,0,0
629,发髻,0,0
630,0,拾掇,0
632,方向,傍,0
633,朋友,0,0
634,命运,劈,0
637,心神,0,0
642,枣子,0,0
644,枝叶,0,0
645,0,买,0
646,0,炖,0
651,刊物,0,0
653,0,安排,0
654,话语,0,0
656,0,爬,0
659,0,摸,0
662,石头,摇动,0
663,0,接,0
667,0,叙述,0
670,拳,0,0
671,水,0,0
672,裤管,0,0
675,心肝,去,0
676,鸡蛋,0,0
678,0,借,0
681,样子,0,0
682,耳朵,0,0
683,小船,0,0
684,音调,0,0
685,时尚,0,0
686,楼板,0,0
687,窗帘,0,0
691,0,卷得,0
694,女朋友,取出,0
698,嗓门,0,0
699,0,修饰,0
700,0,闭得,0
701,队伍,作得,0
702,炉子,0,0
704,土楼,0,0
705,0,蛀,0
707,白膏,扫到,0
709,板凳,揪成,0
715,字迹,0,0
716,锄头,0,0
717,0,涂掉,0
719,0,撅,0
720,阴毛,冲,0
721,0,拆得,0
723,0,修,0
725,0,剪,0
728,0,缠,0
733,0,刺得,0
735,地点,0,0
736,炕,0,0
737,店小二,交给,0
738,保安员,剃得,0
740,院子,0,0
745,刺刀,0,0
746,大门,0,0
747,茶识,0,0
749,情,0,0
750,冷门,0,0
751,0,编,0
755,动作,0,0
756,口气,0,0
757,0,讲,0
759,胸膛,0,0
760,爱光,杀,0
761,棺材,0,0
762,尸体,0,0
765,水壶,是,0
766,烟灰,拉扯,0
767,0,伸向,0
769,警笛,0,0
770,0,扎,0
771,全市,0,0
772,老头儿,0,0
773,范围,骂,0
774,案情,0,0
775,亭子,0,0
777,粉扑,交到,0
778,清官,0,0
779,鸽子,拖出来,0
780,汤,0,0
783,扇子,掸,0
784,0,追得,0
786,国,0,0
787,伙食,编得,0
788,0,缩得,0
789,口号,0,0
791,脑际,0,0
792,裤子,0,0
793,木头,准备,0
795,被窝,挑,0
796,腰杆子,0,0
797,0,学,0
799,0,卖,0
800,嗓子,0,0
801,热水瓶,0,0
802,脚心,0,0
804,嘴,遮掩,0
806,货物,刨,0
807,人们,0,0
812,粉,0,0
818,砖头,0,0
819,坟头,0,0
821,眉眼,0,0
826,伤痕,0,0
827,牙,0,0
831,0,照得,0
835,大哥,闭,0
837,风头,0,0
838,0,噎,0
841,0,处理,0
842,棍子,0,0
845,鞋跟,0,0
848,街门,0,0
849,0,出,0
853,妞子,耍,0
856,绸子,0,0
857,海水,煮,0
858,椰树,0,0
860,母亲,0,0
861,债,0,0
864,名字,抢,0
866,光阴,0,0
867,0,扛,0
869,0,糊,0
871,鸟儿,0,0
872,0,还清,0
875,羽毛,插,0
876,灯光,0,0
884,胃,0,0
888,摊子,0,0
889,笑话,0,0
891,大指,0,0
894,农场,0,0
895,葡萄,0,0
896,脑子,0,0
899,身份,0,0
900,书本,0,0
901,浴衣,0,0
902,眉,0,0
903,领带,0,0
905,腰部,0,0
909,先生,0,0
910,票子,0,0
912,包子,降,0
913,笤帚,支得,0
915,0,系,0
921,胳膊,摔,0
923,艺人,0,0
924,事儿,0,0
925,勋章,0,0
926,丝,0,0
927,价,0,0
931,脸色,拨,0
933,0,唱,0
937,0,打磨,0
942,0,捶,0
943,老头子,0,0
947,儿女,0,0
948,音阶,0,0
949,钢琴,0,0
952,歌声,0,0
953,拳头,0,0
959,竹子,0,0
961,大家,弹,0
963,界限,0,0
966,雪片,喊,0
967,楼梯,0,0
970,0,喷得,0
972,画板,0,0
974,光线,划得,0
975,总,0,0
977,司机,0,0
978,冠军,0,0
979,成绩,0,0
980,运动会,考虑,0
981,腰带,0,0
987,碱地,0,0
988,雪,0,0
989,0,劝退,0
990,当官,0,0
991,铁窗,0,0
992,雪地,看成,0
995,链子,抖,0
999,载畜量,0,0
1001,0,砸,0
1002,大路,照耀,0
1003,0,勾引,0
1007,嘴巴,0,0
1008,猪,0,0
1011,驴,0,0
1012,活人,0,0
1013,0,劈开,0
1015,0,忘记,0
1016,天花板,舔,0
1018,油灯,0,0
1020,水面,0,0
1021,鸭子,0,0
1024,眼珠子,0,0
1025,灯草,0,0
1026,口腔,0,0
1028,大刀,0,0
1030,0,扑,0
1031,小弟,0,0
1033,0,撵,0
1035,韭菜,0,0
1036,麻袋,迸出来,0
1037,猫,0,0
1038,0,塞,0
1042,0,抻,0
1044,老板娘,捆得,0
1045,0,捆好,0
1047,0,吸,0
1048,轿子,0,0
1051,鞍子,0,0
1052,缎子,0,0
1053,0,噘,0
1057,父亲,0,0
1059,爷爷,0,0
1060,包袱,骑,0
1061,五官,0,0
1063,0,闪得,0
1064,工具,0,0
1065,炉火,0,0
1066,0,恨,0
1068,农田,0,0
1069,0,熏得,0
1070,0,举得,0
1071,庙宇,0,0
1074,响器,伏,0
1077,铁链,0,0
1079,蹄,修建,0
1081,饭碗,0,0
1084,担子,0,0
1086,胃口,0,0
1088,窗子,0,0
1090,街道,晃,0
1092,针线,0,0
1095,笛子,0,0
1096,笛膜,0,0
1097,眼镜,0,0
1101,头巾,0,0
1102,脚跟,0,0
1103,0,震抖,0
1104,肩膀,咆哮,0
1105,铁,0,0
1106,小豆,0,0
1108,斧子,涂,0
1113,眼光,0,0
1114,太太,0,0
1116,春光,0,0
1118,旱烟,0,0
1119,窗门,0,0
1120,画儿,0,0
1121,世情,0,0
1122,行李,0,0
1123,土地,收束,0
1124,桃,淹得,0
1126,巢筑,0,0
1127,0,推卸,0
1130,0,藏,0
1131,人心,0,0
1135,奶画,0,0
1136,0,收,0
1144,0,干,0
1146,0,熬,0
1147,袖口,0,0
1148,脊梁骨,0,0
1149,0,扭得,0
1151,县政府,0,0
1153,0,忘掉,0
1154,闺女,显露,0
1157,才气,0,0
1159,0,梳理,0
1163,拖拉机,0,0
1165,0,点着,0
1166,脸贴,0,0
1170,盆盆罐罐,0,0
1173,救护车,0,0
1174,警报器,0,0
1180,班长,折腾,0
1181,0,摆,0
1183,右腿,0,0
1186,家具,0,0
1188,0,抽打,0
1192,茶水,0,0
1193,老鼠,脱下,0
1194,0,睡,0
1197,湿鞋,0,0
1198,0,捂,0
1199,0,挖,0
1201,坑,0,0
1203,月亮,0,0
1205,依,0,0
1206,书斋,0,0
1207,头脑,烘得,0
1208,天气,0,0
1210,人性,0,0
1211,饥饿,0,0
1212,价钱,0,0
1215,才学,0,0
1216,鼻孔,0,0
1217,行政院,牵,0
1218,手提袋,0,0
1219,0,带来,0
1220,民国,铺,0
1221,著作,0,0
1223,0,传得,0
1225,0,已有,0
1227,讲话,0,0
1228,0,撕扯,0
1229,戏院,0,0
1232,外婆,0,0
1235,媳妇,垒,0
1236,院墙,0,0
1237,0,映衬,0
1238,院落,0,0
1239,虱子,0,0
1240,0,凝固,0
1241,床铺,0,0
1246,过程,建得,0
1247,唾沫,0,0
1248,仓库,0,0
1249,马头,灌,0
1251,双手,挪得,0
1255,0,绕,0
1256,弯子,治得,0
1257,0,包围,0
1258,0,羞,0
1259,祠堂,0,0
1260,先人,0,0
1266,译文,推敲,0
1267,雨衣,0,0
1268,麻将,搓,0
1270,情感,隐藏,0
1272,真理,0,0
1273,性,解,0
1274,0,塑造,0
1275,尾巴,0,0
1277,故事,0,0
1280,0,夹,0
1288,案板,剁,0
1290,0,抓住,0
1292,手枪,0,0
1293,银根,抽,0
1294,大堂,0,0
1297,0,溅得,0
1298,尾音,0,0
1299,面,0,0
1301,大乱,扫,0
1303,苍蝇,0,0
1305,部队,0,0
1306,财帛,摆在,0
1307,烟袋锅子,0,0
1309,山谷,赶跑,0
1311,臂,0,0
1312,0,捆到,0
1314,烟斗,0,0
1315,0,累成,0
1317,口令,0,0
1319,纺车,0,0
1320,窗户,0,0
1321,被褥,眯缝,0
1323,军帽,0,0
1327,耳机,0,0
1328,0,组织,0
1331,炮火,0,0
1336,二胡,0,0
1338,拉链,0,0
1341,情况,0,0
1343,校服,0,0
1349,音乐,0,0
1350,盘子,捻,0
1351,事物,0,0
1352,公司,0,0
1353,舞厅,0,0
1354,指头,0,0
1355,指,0,0
1358,0,讲述,0
1360,0,包,0
1364,0,修筑,0
1367,围墙,放进去,0
1369,0,掘,0
1371,面包,0,0
1372,篱笆,0,0
1376,0,让,0
1379,圈子,0,0
1381,铅笔,0,0
1383,视线,害,0
1385,公墓,0,0
1386,肚皮,拽,0
1387,竖琴,迈得,0
1388,0,摆动,0
1390,步子,0,0
1391,0,向下,0
1392,表情,0,0
1395,背心,0,0
1404,杂志,0,0
1408,口水,0,0
1411,党,拖到,0
1412,旗帜,0,0
1413,0,捡,0
1414,0,除得,0
1415,囚犯,0,0
1417,牧草,0,0
1421,0,缩紧,0
1423,阁楼,0,0
1424,灵魂,0,0
1425,木棒,0,0
1426,0,锈得,0
1428,分数,0,0
1429,钟头,0,0
1432,刀刃,0,0
1433,小,0,0
1435,天主教徒,0,0
1439,道路,0,0
1442,风帽,0,0
1443,全盘,钉,0
1444,0,竖,0
1447,书房,0,0
1448,0,炼得,0
1449,0,炼,0
1450,上帝,0,0
1451,十字架,0,0
1452,面貌,0,0
1453,0,保养,0
1455,0,染成,0
1456,盾牌,0,0
1458,公路,出来,0
1460,地下室,保持,0
1462,花瓶,0,0
1463,病房,0,0
1465,0,当做,0
1466,胸脯,0,0
1470,碗盏,掌握,0
1474,脚踝,0,0
1475,0,改,0
1478,调子,0,0
1481,0,放下,0
1483,0,描写,0
1484,0,治理,0
1485,妻子,0,0
1486,伞,0,0
1488,实情,告诉,0
1491,大衣,0,0
1492,货架,0,0
1493,架子,0,0
1494,手杖,刷得,0
1495,神,0,0
1496,人民,0,0
1499,0,修得,0
1500,羊,0,0
1501,0,带领,0
1502,店员,0,0
1504,0,保管,0
1507,座位,0,0
1515,纱门,0,0
1518,事实,0,0
1522,晚餐,0,0
1524,0,去掉,0
1526,家务,打扫,0
1527,家畜,0,0
1530,马,0,0
1531,0,进,0
1536,0,扳,0
1538,0,料理,0
1539,0,看管,0
1541,花坛,0,0
1542,0,赶得,0
1543,猪圈,0,0
1547,0,选择,0
1548,牌,0,0
1549,信件,0,0
1550,军事,输得,0
1551,乐师,排列,0
1554,贵重,0,0
1557,邮件,0,0
1561,斗篷,0,0
1562,0,撤得,0
1564,石板,0,0
1567,0,分发,0
1570,笔尖,0,0
1574,家人,0,0
1576,天堂,0,0
1578,书页,0,0
1580,壁炉,0,0
1581,0,留在,0
1586,0,描画,0
1587,0,搅动,0
1590,0,改变,0
1592,客栈,0,0
1603,金块,0,0
1605,0,撵走,0
1607,口袋,0,0
1609,奶油,0,0
1610,蛋糕,0,0
1613,礁石,0,0
1614,0,拿走,0
1620,事件,0,0
1621,句子,0,0
1626,剑,0,0
1627,图书,0,0
1629,盆子,0,0
1636,0,拆散,0
1637,树干,收拢,0
1639,0,捆绑,0
1641,0,排除,0
1642,轴承,0,0
1643,车轮,0,0
1644,0,驱使,0
1649,钱袋,0,0
1652,梭镖,关掉,0
1653,钢刀,0,0
1656,耻辱,0,0
1658,0,改造,0
1659,0,扩大,0
1664,0,斟得,0
1678,院长,0,0
1679,匿名信,0,0
1684,庄稼,0,0
1685,0,带到,0
1690,文件,0,0
1692,0,保佑,0
1693,卵,0,0
1694,卵产,0,0
1695,浪,0,0
1698,0,拿到,0
1700,汗珠,0,0
1704,生肉,0,0
1707,0,割,0
1708,床,0,0
1709,平台,0,0
1713,天数,加进去,0
1718,0,分给,0
1719,土豆,0,0
1721,面包屑,0,0
1722,表面,0,0
1724,0,解释,0
1726,枷锁,捣得,0
1728,山宝,0,0
1730,0,埋葬,0
1732,姑娘,0,0
1733,箭,0,0
1736,客厅,0,0
1738,阳台,领到,0
1741,0,射,0
1743,身材,0,0
1744,衬衫,0,0
1745,劲,0,0
1748,0,称做,0
1750,资料,鼓得,0
1753,甲胄,0,0
1755,谎话,0,0
1758,店主,签得,0
1760,洋相,0,0
1761,竹管,解决,0
1764,疯子,0,0
1765,巨人,0,0
1767,0,插到,0
1768,女佣,0,0
1769,0,放开,0
1771,球棒,0,0
1773,0,回答,0
1778,0,盯紧,0
1783,0,送回,0
1784,0,凑,0
1786,电影,0,0
1787,雪球,0,0
1789,琴,0,0
1791,收音机,0,0
1793,0,取笑,0
1794,座椅,0,0
1797,挡杆,0,0
1798,0,掺,0
1802,0,搬到,0
1804,人间,0,0
1806,桉树,0,0
1809,对立面,0,0
1810,鞭子,0,0
1812,0,打翻,0
1817,电话铃,0,0
1819,头皮,0,0
1820,头顶,0,0
1822,脸皮,0,0
1826,电视机,0,0
1833,山顶,0,0
1834,小孩子,传达,0
1841,门铃,0,0
1844,头颈,0,0
1846,剧场,0,0
1847,腰杆,0,0
1848,钥匙,0,0
1852,肌肉,0,0
1854,0,守,0
1855,0,堵得,0
1856,寝宫,0,0
1858,0,翻倒,0
1859,刀剑,0,0
1861,0,挡,0
1862,夜空,0,0
1863,乘客,0,0
1865,办公室,0,0
1867,人群,0,0
1869,嗅觉,0,0
1871,0,削得,0
1873,0,刺激,0
1875,地,0,0
1880,虚构,0,0
1886,风筝,行为,0
1889,树木,0,0
1890,货箱,0,0
1896,0,拿,0
1902,商人,0,0
1905,芦苇,0,0
1906,网子,0,0
1908,鹌鹑,0,0
1909,枪,0,0
1911,0,举高,0
1913,靴子,0,0
1915,烂泥,0,0
1916,0,收紧,0
1917,酒店,0,0
1922,茶,0,0
1924,长袍,0,0
1926,草地,0,0
1928,0,拱,0
1931,纽扣,0,0
1932,穗子,0,0
1944,乐谱,0,0
1948,马车,0,0
1950,翅膀,0,0
1952,茶房,0,0
1954,台阶,引诱,0
1958,车灯,0,0
1959,0,折得,0
1962,树画,0,0
1964,0,翻译,0
1968,枪托,0,0
1971,调节器,带,0
1977,0,挥得,0
1978,舌头,0,0
1982,地址,0,0
1983,硬币,0,0
1984,0,洒得,0
1989,线段,0,0
1993,海,0,0
1998,怒气,0,0
2001,核,0,0
2004,猪排,0,0
2005,0,掐,0
2008,冰箱,填,0
2011,大头,0,0
2013,0,裸露,0
2017,纸牌,0,0
2018,0,驳得,0
2021,玻璃窗,0,0
2026,睡衣,0,0
2027,面纱,0,0
2028,0,装扮,0
2029,葬礼,0,0
2032,性命,0,0
2036,0,照顾,0
2041,0,换,0
2042,内容,0,0
2044,0,倒,0
2047,书扣,0,0
2052,0,练,0
2053,大腿,靠,0
2054,0,描得,0
2057,菠菜,0,0
2058,主妇,0,0
2059,车厢,0,0
2060,机器,0,0
2062,0,挨近,0
2063,老花眼,0,0
2064,额头,0,0
2068,0,演,0
2069,雨伞,0,0
2073,交通,0,0
2074,来客,0,0
2075,雉鸡,0,0
2076,花子,0,0
2078,镜子,0,0
2079,烟囱,0,0
2080,舞蹈,0,0
2084,绳子,0,0
2085,山,0,0
2087,玫瑰,0,0
2088,衣扣,0,0
2090,0,操办,0
2101,饭菜,0,0
2103,体统,0,0
2104,论点,0,0
2105,0,赔得,0
2109,本钱,0,0
2111,读者,0,0
2112,衣衫,0,0
2114,0,放上,0
2122,前途,0,0
2127,城池,0,0
2132,0,请,0
2133,午餐,0,0
2147,沙子,0,0
2148,博物馆,0,0
2150,水桶,送来,0
2153,蜡烛,0,0
2160,母牛,0,0
2162,窑洞,挽得,0
2164,碟子,0,0
2171,花园,0,0
2172,茶壶,0,0
2176,围裙,0,0
2178,茶托,0,0
2180,村野,0,0
2185,排水沟,0,0
2186,木制,0,0
2195,0,遮盖,0
2202,煤气炉,吸吮,0
2203,证人,0,0
2204,0,吼,0
2211,油脂,0,0
2212,稻草人,0,0
2214,公主,0,0
2217,裤腿,0,0
2219,树影,0,0
2220,0,送,0
2225,0,排,0
2234,山路,衬,0
2235,0,打点,0
2239,垃圾,称为,0
2242,价格,0,0
2243,店面,0,0
2244,酒窖,0,0
2247,门缝,0,0
2248,0,推上,0
2249,火生,0,0
2253,油门,0,0
2257,子弹,0,0
2258,瓶子,0,0
2260,市场,0,0
2264,口红,0,0
2267,0,淋得,0
2272,窗帷,0,0
2275,梯子,操持,0
2279,衣领,0,0
2285,肉体,0,0
2287,小屋,0,0
2288,山麓,0,0
2291,精神,0,0
2302,栅栏,0,0
2303,0,撮,0
2304,火焰,0,0
2306,0,注视,0
2308,0,裹起来,0
2309,苔丝,通知,0
2315,0,听话,0
2317,婚姻,醉,0
2324,新手,0,0
2326,0,压低,0
2329,0,垂得,0
2330,土音,0,0
2334,0,刮,0
2335,字音,0,0
2336,雨水,0,0
2339,身躯,0,0
2347,大厅,0,0
2350,外衣,0,0
2352,信纸,0,0
2356,救生艇,0,0
2358,毯子,0,0
2359,0,当成,0
2360,柜子,0,0
2361,船板,埋,0
2365,0,惹,0
2366,神像,0,0
2367,财宝,0,0
2374,年轻人,0,0
2380,马路,0,0
2386,0,破坏,0
2388,科学,拷打,0
2389,0,装修,0
2390,脚后跟,0,0
2392,扶手椅,0,0
2393,文化,0,0
2396,祭坛,0,0
2397,凳子,0,0
2398,法令,0,0
2399,装备,0,0
2400,0,进行,0
2402,舰队,出得,0
2405,同伴,0,0
2407,谎言,0,0
2418,经书,0,0
2420,饭食,0,0
2422,节目,0,0
2425,案件,0,0
2426,国王,0,0
2431,0,雕,0
2433,字母,0,0
2439,毛巾被,瘫软,0
2440,鞋底,0,0
2445,浑身,0,0
2448,草坪,0,0
2457,引擎,0,0
2459,阴部,0,0
2461,0,剥得,0
2462,血洗,0,0
2463,肠子,0,0
2467,厨房,0,0
2470,雪领,0,0
2476,营地,0,0
2482,万物,0,0
2486,衣裳,0,0
2487,0,揉成,0
2490,外人,0,0
2492,医生,0,0
2493,大氅,0,0
2495,0,抽走,0
2497,车座,0,0
2498,家业,0,0
2500,上司,0,0
2505,哲学,0,0
2506,可能性,0,0
2509,坏事,0,0
2516,正义,0,0
2518,诗人,0,0
2519,0,救,0
2521,宇宙,0,0
2523,肝,0,0
2527,肉汤,0,0
2530,浴池,0,0
2532,0,招待,0
2536,警棍,0,0
2537,牧场,0,0
2538,船员,0,0
2540,分号,0,0
2547,0,写成,0
2550,瞳孔,0,0
2554,借口,0,0
2558,录音机,0,0
2559,奇迹,0,0
2560,气温,0,0
2566,章节,垫,0
2568,表链,0,0
2569,棕榈,0,0
2576,0,折断,0
2578,猎狗,0,0
2579,床单,0,0
2580,针,抱入,0
2581,毛线,0,0
2582,锅炉,0,0
2590,形容词,0,0
2594,外表,0,0
